status,text,style,zip_code,days_on_mls,list_price,list_date,new_construction,county,stories,home_age,total_baths,desc_words,listing_month,log_price,log_sqft
FOR_SALE,"List price is starting bid only. Home will be sold at auction 6/3/2026 @12pm. Contact us or your favorite real estate professional to view this home! Buying at auction is easy and transparent you can get financing!! Solid 4 BR/6 BA (3 full & 3 half bathrooms) home w/3 bay attached garage on 30.84 +/- acres -- Swimming pool & spacious deck -- Horse barn w/stalls, electricity & water -- Detached garage, large workshop w/220 electric, storage buildings & more -- Fenced paddocks -- Multiple water hydrants -- Located only 0.8 mile from Rt. 360, 6.5 miles from the Hitachi Energy Manufacturing Plant, 7.5 miles from Sentara Halifax Hospital, and only a short drive to Kerr Lake, Danville, South Hill, Farmville & the NC Line!!",SINGLE_FAMILY,24592,5.0,250000.0,2026-04-20 19:45:25,False,Halifax,2.0,27.0,4.5,125,4,12.429216196844383,8.272315147956022
FOR_SALE,"HOME CAN NOT BE ENTERED. Sold strictly as is. Pretty land in a peaceful country location yet minutes to all major amenities. Information obtained from tax assessment believed to be true, purchaser must verify to their satisfaction. Home must be sold for tax assessment.",SINGLE_FAMILY,24112,10.0,30200.0,2026-04-16 13:31:14,False,Henry,2.0,272.0,1.0,44,4,10.31559720336296,7.433666540166168
FOR_SALE,"Charming 1 Level Rambler Situated on a Generous .61 Acre Lot Offering Incredible Potential and Timeless Appeal. This Home Features a Warm and Inviting Fireplace, Hardwood Floors, Spacious Bedrooms, and a Bright Sunroom Perfect for Relaxing or Entertaining Year-Round. Enjoy the Open Feel of Vaulted Ceilings Along with a Welcoming Covered Front Porch Ideal for Morning Coffee or Evening Unwinding. The Expansive Lot Provides Plenty of Outdoor Space, Complete with Large Storage Sheds for All Your Tools, Hobbies, or Equipment. With Solid Bones and Desirable Features Already in Place, This Property Presents a Fantastic Opportunity for Buyers Looking to add their Personal Touch Through Updating and Cosmetic Improvements. A Rare Chance to Create Your Dream Home in a Peaceful Setting with Room to Grow. Sold As-Is.",SINGLE_FAMILY,23005,26.0,299900.0,2026-03-30 20:05:49,False,Hanover,1.0,61.0,2.0,126,3,12.6112043647371,7.53955882930103
FOR_SALE,"Auction Property: List price may not reflect final sales price. List price is current bid on the property and is non-reflective of value. Auction Ends Tues, May 12th at 4. This private 2BR, 2BA log home sits on 5.31 wooded acres featuring stunning Blue Ridge Mountain views. The +/-1,644 sq. ft. residence offers a unique, flexible layout with two separate living areas, each equipped with its own staircase, upstairs bedroom, bathroom, and wood stove--ideal for guests or multi-family use. The 1.5-story structure has concrete chinking, a metal roof, and board and batten additions, with an interior finished in hardwood, tile, and carpet. Modern comfort is ensured via mini-split HVAC, a private well, and septic. Outside, enjoy a spacious deck, porch, and a machine shed/barn. Restrictions apply",SINGLE_FAMILY,24133,12.0,109000.0,2026-04-13 16:19:45,False,Patrick,2.0,58.0,2.0,126,4,11.59910316121128,7.404887575616125
FOR_SALE,"Property is owned by the US Dept of HUD, home being sold ''AS IS'' Seller makes no representations or warranties as to property condition Case #541-919819 IE (insured escrow) 203K Eligible subject to appraisal. EHO How to submit an offer and property condition report attached and is also available property managed by 3-bedroom, 2-bath1,630 SF home on a nearly half-acre lot with attached garage in Nottingham Park South Roanoke County",SINGLE_FAMILY,24018,10.0,277000.0,2026-04-16 10:27:40,False,Roanoke,1.0,30.0,2.0,70,4,12.531772785169476,7.396335293800808
FOR_SALE,"Magnificent home on 154+ private acres with sweeping pastoral and mountain views, enjoyed through a dramatic wall of windows in the spacious living room with hardwood floors, cathedral ceiling, stone fireplace, and built-in generator. This 3BR, 2 full/2 half bath home offers two screened porches, updated paint and flooring, and a huge gourmet kitchen with custom hickory Amish cabinets, center island, and brand-new KitchenAid appliances. The enormous family room is perfect for entertaining. Main-level primary suite includes a walk-in closet, beautiful bath, and laundry. A large, floored attic is accessible by permanent stairs from the attached 3-car garage. Property overlooks hay fields and could be fenced for horses or cattle. Wooded acreage behind the home features trails and abundant wildlife. Minutes to Celanese, close to WV, and about 40 minutes to VT and Blacksburg. School attendance is Narrows Elementary/Middle and Narrows High School. Call for a private showing!",SINGLE_FAMILY,24124,5.0,1000000.0,2026-04-21 05:34:03,False,OTHER,2.0,19.0,3.0,148,4,13.815510557964274,8.435983135990694
PENDING,"*Professional photos coming soon* Welcome to this charming 3-story brick home in the highly sought-after Montclair at Southbend community in Chester, VA! Perfectly suited for first-time buyers, this spacious residence offers 4 generously sized bedrooms and 3.5 bathrooms and well over 3000sq feet, providing plenty of room to grow and make it your own. With great bones and timeless curb appeal, this home is ready for your personal touch. A little TLC-such as fresh paint and new carpet-will go a long way in transforming this property into your dream home while allowing you to build instant equity. Enjoy the convenience of easy access to I-295 and I-95, making commuting and travel a breeze. Nestled in a desirable neighborhood, you'll love the blend of comfort, space, and location this home provides. Don't miss this incredible opportunity to own in one of Chester's most popular communities-schedule your showing today and imagine the possibilities! Although no known defects, all outbuildings, sheds, fireplaces, flues, chimneys convey as-is. Roof replaced (2021). New kitchen appliances (2022). New fixtures/fans (2021). Property sold as-is, sellers will make no repairs.",SINGLE_FAMILY,23836,27.0,450000.0,2026-03-30 06:55:23,False,Chesterfield,3.0,20.0,3.5,181,3,13.017002861746503,8.048468743668883
FOR_SALE,"Perfect cabin for a retreat or secluded homestead! Tucked away on 10.36 private acres, this log cabin matches modern conveniences with the classic feel of a cabin getaway. (Just 7 minutes from the Sedalia Country Store). This cabin home features a main level master with a master ensuite, a wood burning stove, and a large wrap around porch. Upstairs, offers two additional bedrooms and second full bath. The pole barn at the base of the property is powered and metered separately. Schedule your showing today for this one of a kind property!",SINGLE_FAMILY,24523,9.0,400000.0,2026-04-16 21:47:17,False,Bedford,2.0,17.0,2.5,92,4,12.89921982609012,7.203405521083095
FOR_SALE,"Tucked away in Western Amherst County, this exceptional 30-acre estate showcases breathtaking Blue Ridge Mountain views from the vaulted screened porch, living room, and kitchen perfect for unforgettable sunsets. A long, private driveway leads to a thoughtfully designed home offering true main-level living, including a spacious primary suite with multiple closets and convenient laundry. A fully equipped in-law suite with private entrance, full bath, and kitchen offers ideal space for guests or Airbnb potential. Outdoors, enjoy established riding and walking trails, a large pond, and beautifully cleared woods. The property also features a covered front porch, garden space, blooming trees, and abundant wildlife. Located within 10 minutes of Amherst with easy access to Lynchburg, Wintergreen, and Charlottesville, plus three nearby public lakes for kayaking and fishing. Additional highlights include a generator, pole barn, shed, and two-car garage.",SINGLE_FAMILY,24521,2.0,725000.0,2026-04-23 16:04:05,False,Amherst,1.0,30.0,3.0,137,4,13.493926933836812,7.844632644464681
FOR_SALE,"Welcome to this beautifully updated 3-bedroom, 3-bath home offering over 2,700 square feet of space designed for everyday living. The open layout creates a natural flow, with a bright living area that invites you to relax, gather, and unwind. Downstairs, a spacious den opens the door for whatever you need, whether it's a second living space, in-law suite, or your own private retreat. Updates bring peace of mind, including resurfaced floors, new countertops, and fresh paint throughout. An attached rear-entry garage with a new door adds convenience, while the quiet neighborhood setting gives you the comfort you've been looking for. If you've been searching for a place that truly feels right... this is it. Schedule your showing today!",SINGLE_FAMILY,24019,6.0,399950.0,2026-04-19 16:40:03,False,Botetourt,2.0,51.0,3.0,118,4,12.899094818276968,7.903965634032166
